,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_learning_rate,params_vf_coef,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,state
0,0,0.0513531,2021-03-01 15:41:38,2021-03-01 19:55:56,0 days 04:14:18,0.2,0.0,0.0003,0.5,0.051353052234109506,,,"{'learning_rate': 0.0003, 'policy_kwargs': {'net_arch': [400, {'pi': [400, 400, 400], 'vf': [400, 400]}]}, 'batch_size': 64, 'n_epochs': 10, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.0, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'use_sde': False, 'sde_sample_freq': -1}",PRUNED
1,1,0.259534,2021-03-01 15:41:40,2021-03-01 19:50:38,0 days 04:08:58,0.3,0.006,0.00011,0.6,0.25953429830081814,0.25953429830081814,,,COMPLETE
2,2,0.0198867,2021-03-01 15:41:40,2021-03-01 19:55:59,0 days 04:14:19,0.4,0.008,0.00271,0.5,0.019886721208307145,,,,PRUNED
3,3,0.164003,2021-03-01 15:41:40,2021-03-01 19:54:37,0 days 04:12:57,0.2,0.003,0.00011,1.0,0.16400251730648213,,,,PRUNED
4,4,0.00629327,2021-03-01 15:41:40,2021-03-01 19:58:40,0 days 04:17:00,0.3,0.01,0.00131,0.9,0.006293266205160464,,,,PRUNED
5,5,0.318313,2021-03-01 15:41:40,2021-03-01 19:52:30,0 days 04:10:50,0.3,0.001,0.00111,0.5,0.31831340465701696,0.31831340465701696,0.31831340465701696,,COMPLETE
6,6,0.0193833,2021-03-01 15:41:40,2021-03-01 19:57:27,0 days 04:15:47,0.4,0.005,0.00281,0.5,0.01938325991189429,,,,PRUNED
7,7,0.273757,2021-03-01 15:41:40,2021-03-01 19:44:42,0 days 04:03:02,0.1,0.001,0.00291,0.7,0.2737570799244808,0.2737570799244808,0.2737570799244808,,COMPLETE
8,8,0.318188,2021-03-01 15:41:40,2021-03-01 19:43:54,0 days 04:02:14,0.2,0.008,0.00241,0.6,,,,,COMPLETE
9,9,0.262429,2021-03-01 15:41:40,2021-03-01 19:49:26,0 days 04:07:46,0.1,0.002,0.00161,0.5,0.26242920075519194,0.26242920075519194,0.26242920075519194,,COMPLETE
10,10,0.220642,2021-03-01 15:41:40,2021-03-01 19:49:11,0 days 04:07:31,0.1,0.007,0.00131,1.0,0.22064191315292633,,,,PRUNED
11,11,0.290623,2021-03-01 15:41:40,2021-03-01 19:50:22,0 days 04:08:42,0.1,0.007,0.00181,0.5,0.29062303335431094,0.29062303335431094,,,COMPLETE
12,12,0.00629327,2021-03-01 19:43:54,2021-03-01 23:33:30,0 days 03:49:36,0.4,0.01,0.00211,0.5,0.006293266205160464,,,,PRUNED
13,13,0.0694777,2021-03-01 19:44:42,2021-03-01 23:29:23,0 days 03:44:41,0.4,0.0,0.00011,1.0,0.303335431088735,0.35418502202643176,0.0694776589049717,,PRUNED
14,14,0.273505,2021-03-01 19:49:11,2021-03-01 20:13:21,0 days 00:24:10,0.2,0.008,0.00231,0.7,0.2735053492762743,,,,PRUNED
15,15,0.201762,2021-03-01 19:49:26,2021-03-01 23:31:58,0 days 03:42:32,0.3,0.006,0.00051,0.8,0.201762114537445,,,,PRUNED
16,16,0.216614,2021-03-01 19:50:22,2021-03-01 20:15:26,0 days 00:25:04,0.1,0.004,0.00201,0.9,0.21661422278162362,,,,PRUNED
17,17,0.00629327,2021-03-01 19:50:38,2021-03-01 21:07:47,0 days 01:17:09,0.4,0.005,0.00251,0.9,0.006293266205160464,,,,PRUNED
18,18,0.300441,2021-03-01 19:52:30,2021-03-02 00:00:39,0 days 04:08:09,0.1,0.007,0.00051,0.7,0.2785399622404028,0.36224040276903713,,,COMPLETE
19,19,0.00604154,2021-03-01 19:54:37,2021-03-01 20:20:30,0 days 00:25:53,0.4,0.006,0.00181,0.8,0.006041535556954081,,,,PRUNED
20,20,0.362492,2021-03-01 19:55:56,2021-03-01 23:53:35,0 days 03:57:39,0.3,0.001,0.00131,0.8,0.3624921334172435,0.18577721837633732,,,COMPLETE
21,21,0.0167401,2021-03-01 19:55:59,2021-03-01 23:40:51,0 days 03:44:52,0.2,0.005,0.00031,0.8,0.01674008810572687,,,,PRUNED
22,22,0.178099,2021-03-01 19:57:27,2021-03-01 23:42:55,0 days 03:45:28,0.3,0.0,0.00101,0.7,0.17809943360604152,,,,PRUNED
23,23,0.0787917,2021-03-01 19:58:40,2021-03-01 23:40:09,0 days 03:41:29,0.1,0.004,0.00041,0.9,0.36010069225928254,0.07879169288860917,,,PRUNED
24,24,0.12939,2021-03-01 20:13:21,2021-03-01 20:37:52,0 days 00:24:31,0.4,0.0,0.00061,0.9,0.12938955317809944,,,,PRUNED
25,25,0.138074,2021-03-01 20:15:26,2021-03-01 20:40:29,0 days 00:25:03,0.2,0.009,0.00231,0.5,0.1380742605412209,,,,PRUNED
26,26,0.0192574,2021-03-01 20:20:30,2021-03-01 20:46:34,0 days 00:26:04,0.3,0.01,0.00111,0.6,0.019257394587791056,,,,PRUNED
27,27,0.0202643,2021-03-01 20:37:53,2021-03-02 00:24:40,0 days 03:46:47,0.4,0.0,0.00221,0.7,0.020264317180616765,,,,PRUNED
28,28,0.0999371,2021-03-01 20:40:29,2021-03-01 21:55:19,0 days 01:14:50,0.1,0.003,0.00111,0.9,0.09993706733794841,,,,PRUNED
29,29,0.229201,2021-03-01 20:46:34,2021-03-01 21:10:42,0 days 00:24:08,0.2,0.002,0.00291,0.7,0.2292007551919446,,,,PRUNED
30,30,0.181498,2021-03-01 21:07:48,2021-03-01 22:20:34,0 days 01:12:46,0.2,0.004,0.00291,0.5,0.3629955947136563,0.18149779735682822,,,PRUNED
31,31,0.22404,2021-03-01 21:10:43,2021-03-01 22:25:19,0 days 01:14:36,0.1,0.005,0.00181,0.8,0.224040276903713,,,,PRUNED
32,32,0.22832,2021-03-01 21:55:19,2021-03-02 01:56:31,0 days 04:01:12,0.4,0.008,0.00181,0.6,0.3178099433606042,,,,COMPLETE
33,33,0.0886092,2021-03-01 22:20:34,2021-03-02 02:01:38,0 days 03:41:04,0.2,0.004,0.00171,0.9,0.08860918816865956,,,,PRUNED
34,34,0.229075,2021-03-01 22:25:19,2021-03-01 23:37:53,0 days 01:12:34,0.3,0.01,0.00251,0.6,0.3618628067967275,0.2290748898678414,,,PRUNED
35,35,0.162618,2021-03-01 23:29:23,2021-03-02 00:44:39,0 days 01:15:16,0.1,0.003,0.00171,0.6,0.36312146003775947,0.16261799874134675,,,PRUNED
36,36,0.218628,2021-03-01 23:31:58,2021-03-02 03:20:32,0 days 03:48:34,0.2,0.002,0.00081,0.7,0.21862806796727496,,,,PRUNED
37,37,0.0128383,2021-03-01 23:33:30,2021-03-02 03:18:36,0 days 03:45:06,0.2,0.003,0.00041,0.7,0.012838263058527399,,,,PRUNED
38,38,0.272498,2021-03-01 23:37:53,2021-03-02 03:15:35,0 days 03:37:42,0.2,0.008,0.00241,0.6,0.26255506607929513,0.35166771554436754,0.27249842668344876,,PRUNED
39,39,0.0105727,2021-03-01 23:40:09,2021-03-02 00:06:44,0 days 00:26:35,0.3,0.006,0.00101,0.5,0.010572687224669641,,,,PRUNED
40,40,0.0061674,2021-03-01 23:40:52,2021-03-02 00:07:50,0 days 00:26:58,0.2,0.008,0.00251,0.6,0.006167400881057272,,,,PRUNED
41,41,0.180994,2021-03-01 23:42:55,2021-03-02 03:23:05,0 days 03:40:10,0.1,0.006,0.00131,0.8,0.3574575204531152,0.18099433606041537,,,PRUNED
42,42,0.131907,2021-03-01 23:53:35,2021-03-02 00:19:40,0 days 00:26:05,0.1,0.008,0.00241,0.6,0.13190685966016358,,,,PRUNED
43,43,0.0390183,2021-03-02 00:00:39,2021-03-02 00:27:06,0 days 00:26:27,0.3,0.006,0.00071,0.6,0.03901825047199496,,,,PRUNED
44,44,0.134802,2021-03-02 00:06:45,2021-03-02 00:32:19,0 days 00:25:34,0.3,0.01,0.00081,0.9,0.13480176211453743,,,,PRUNED
45,45,0.00629327,2021-03-02 00:07:50,2021-03-02 03:56:13,0 days 03:48:23,0.4,0.009,0.00141,0.9,0.006293266205160464,,,,PRUNED
46,46,0.00629327,2021-03-02 00:19:40,2021-03-02 01:36:03,0 days 01:16:23,0.2,0.005,0.00171,0.8,0.006293266205160464,,,,PRUNED
47,47,0.00629327,2021-03-02 00:24:41,2021-03-02 04:12:25,0 days 03:47:44,0.4,0.0,0.00121,0.5,0.006293266205160464,,,,PRUNED
48,48,0.304972,2021-03-02 00:27:06,2021-03-02 04:32:00,0 days 04:04:54,0.1,0.006,0.00051,0.9,0.2536186280679673,,,,COMPLETE
49,49,0.0828194,2021-03-02 00:32:19,2021-03-02 00:57:02,0 days 00:24:43,0.1,0.004,0.00041,0.8,0.08281938325991192,,,,PRUNED
50,50,0.185903,2021-03-02 00:44:39,2021-03-02 01:07:46,0 days 00:23:07,0.1,0.01,0.00151,0.7,0.18590308370044056,,,,PRUNED
51,51,0.0122089,2021-03-02 00:57:02,2021-03-02 01:22:08,0 days 00:25:06,0.3,0.005,0.00121,0.9,0.012208936438011353,,,,PRUNED
52,52,0.11995,2021-03-02 01:07:46,2021-03-02 01:32:31,0 days 00:24:45,0.1,0.002,0.00211,0.7,0.11994965387035865,,,,PRUNED
53,53,0.11051,2021-03-02 01:22:08,2021-03-02 02:36:07,0 days 01:13:59,0.1,0.002,0.00171,1.0,0.110509754562618,,,,PRUNED
54,54,0.00641913,2021-03-02 01:32:31,2021-03-02 02:45:02,0 days 01:12:31,0.3,0.008,0.00111,0.6,0.006419131529263655,,,,PRUNED
55,55,0.183512,2021-03-02 01:36:03,2021-03-02 05:13:29,0 days 03:37:26,0.2,0.0,0.00181,0.6,0.18351164254247956,,,,PRUNED
56,56,0.317936,2021-03-02 01:56:31,2021-03-02 05:56:55,0 days 04:00:24,0.1,0.005,1e-05,0.5,0.36312146003775947,0.3626179987413467,,,COMPLETE
57,57,0.0105727,2021-03-02 02:01:38,2021-03-02 02:26:08,0 days 00:24:30,0.2,0.008,0.00171,0.8,0.010572687224669596,,,,PRUNED
58,58,0.317055,2021-03-02 02:26:08,2021-03-02 06:32:58,0 days 04:06:50,0.4,0.002,1e-05,0.9,0.27237256135934557,,,,COMPLETE
59,59,0.011202,2021-03-02 02:36:07,2021-03-02 06:15:58,0 days 03:39:51,0.3,0.006,0.00181,0.7,0.011202013845185644,,,,PRUNED
60,60,,2021-03-02 02:45:02,,,0.2,0.007,0.00151,1.0,0.35972309628697297,,,,RUNNING
61,61,,2021-03-02 03:15:36,,,0.1,0.009,0.00021,0.6,0.3629955947136563,0.3553178099433606,,,RUNNING
62,62,0.1854,2021-03-02 03:18:36,2021-03-02 03:43:20,0 days 00:24:44,0.1,0.002,0.00081,0.7,0.1853996224040277,,,,PRUNED
63,63,0.0398993,2021-03-02 03:20:32,2021-03-02 04:36:37,0 days 01:16:05,0.3,0.007,0.00071,0.7,0.03989930774071744,,,,PRUNED
64,64,0.00591567,2021-03-02 03:23:05,2021-03-02 03:48:22,0 days 00:25:17,0.1,0.001,0.00271,0.6,0.005915670232850889,,,,PRUNED
65,65,0.138074,2021-03-02 03:43:20,2021-03-02 04:56:04,0 days 01:12:44,0.3,0.001,0.00071,0.7,0.2738829452485839,0.1380742605412209,,,PRUNED
66,66,0.0193833,2021-03-02 03:48:22,2021-03-02 05:03:51,0 days 01:15:29,0.3,0.007,0.00081,0.6,0.31780994336060414,0.01938325991189429,,,PRUNED
67,67,0.00931403,2021-03-02 03:56:13,2021-03-02 05:12:37,0 days 01:16:24,0.4,0.007,0.00291,0.5,0.009314033983637504,,,,PRUNED
68,68,0.317936,2021-03-02 04:12:26,2021-03-02 05:26:24,0 days 01:13:58,0.3,0.007,0.00011,0.5,0.33442416614222786,0.3179358086847074,,,PRUNED
69,69,0.00591567,2021-03-02 04:32:01,2021-03-02 05:47:03,0 days 01:15:02,0.3,0.006,0.00171,0.8,0.27325361862806796,0.005915670232850889,,,PRUNED
70,70,0.125739,2021-03-02 04:36:37,2021-03-02 05:50:54,0 days 01:14:17,0.3,0.0,0.00071,0.5,0.12573945877910636,,,,PRUNED
71,71,0.0057898,2021-03-02 04:56:04,2021-03-02 05:22:05,0 days 00:26:01,0.1,0.001,0.00201,1.0,0.005789804908747698,,,,PRUNED
72,72,,2021-03-02 05:03:52,,,0.1,0.008,0.00031,0.5,,,,,RUNNING
73,73,,2021-03-02 05:12:37,,,0.2,0.003,1e-05,0.6,0.2730018879798616,,,,RUNNING
74,74,0.0742605,2021-03-02 05:13:29,2021-03-02 06:27:30,0 days 01:14:01,0.4,0.001,0.00051,0.5,0.07426054122089365,,,,PRUNED
75,75,,2021-03-02 05:22:05,,,0.3,0.0,0.00291,0.6,,,,,RUNNING
76,76,,2021-03-02 05:26:24,,,0.3,0.01,0.00201,0.5,0.312271869100063,,,,RUNNING
77,77,0.00604154,2021-03-02 05:47:03,2021-03-02 06:13:17,0 days 00:26:14,0.4,0.005,0.00161,0.8,0.006041535556954081,,,,PRUNED
78,78,0.00604154,2021-03-02 05:50:54,2021-03-02 06:16:55,0 days 00:26:01,0.2,0.007,0.00221,1.0,0.006041535556954081,,,,PRUNED
79,79,,2021-03-02 05:56:55,,,0.2,0.004,0.00011,0.5,,,,,RUNNING
80,80,0.0061674,2021-03-02 06:13:17,2021-03-02 06:38:53,0 days 00:25:36,0.4,0.006,0.00171,0.5,0.006167400881057272,,,,PRUNED
81,81,0.229452,2021-03-02 06:15:58,2021-03-02 06:40:16,0 days 00:24:18,0.1,0.009,0.00051,0.6,0.229452485840151,,,,PRUNED
82,82,,2021-03-02 06:16:56,,,0.1,0.006,1e-05,1.0,,,,,RUNNING
83,83,,2021-03-02 06:27:30,,,0.1,0.009,1e-05,0.6,,,,,RUNNING
84,84,,2021-03-02 06:32:58,,,0.1,0.009,0.00151,0.8,,,,,RUNNING
85,85,,2021-03-02 06:38:53,,,0.3,0.007,0.00151,0.6,,,,,RUNNING
86,86,,2021-03-02 06:40:16,,,0.1,0.007,1e-05,0.6,,,,,RUNNING
